,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado
45,0,23,negras,r5r1/pQpk1pp1/2Nbpn1p/8/3P4/1R2B2q/PPP2P2/2KR4 w - - 3 24,Kd7,"PovScore(Cp(+422), WHITE)",e3d2,0
46,0,24,blancas,r5r1/pQpk1pp1/3bpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 b - - 4 24,Ne5+,"PovScore(Cp(-561), BLACK)",d7e7,0
47,0,24,negras,r5r1/pQp1kpp1/3bpn1p/4N3/3P4/1R2B2q/PPP2P2/2KR4 w - - 5 25,Ke7,"PovScore(Cp(+557), WHITE)",e3g5,0
48,0,25,blancas,r5r1/pQp1kpp1/3bpn1p/4N3/3P1B2/1R5q/PPP2P2/2KR4 b - - 6 25,Bf4,"PovScore(Cp(-330), BLACK)",h3h5,0
49,0,25,negras,r5r1/pQp1kpp1/3bpn1p/4Nq2/3P1B2/1R6/PPP2P2/2KR4 w - - 7 26,Qf5,"PovScore(Cp(+493), WHITE)",e5c6,0
50,0,26,blancas,r5r1/pQp1kpp1/2Nbpn1p/5q2/3P1B2/1R6/PPP2P2/2KR4 b - - 8 26,Nc6+,"PovScore(Cp(-462), BLACK)",e7d7,0
51,0,26,negras,r5r1/pQpk1pp1/2Nbpn1p/5q2/3P1B2/1R6/PPP2P2/2KR4 w - - 9 27,Kd7,"PovScore(Cp(+591), WHITE)",f4d6,0
52,0,27,blancas,r5r1/pQpk1pp1/2NBpn1p/5q2/3P4/1R6/PPP2P2/2KR4 b - - 0 27,Bxd6,"PovScore(Cp(-479), BLACK)",d7d6,0
53,0,27,negras,r5r1/pQp2pp1/2Nkpn1p/5q2/3P4/1R6/PPP2P2/2KR4 w - - 0 28,Kxd6,"PovScore(Cp(+659), WHITE)",c6e5,0
54,0,28,blancas,r5r1/pQp2pp1/3kpn1p/4Nq2/3P4/1R6/PPP2P2/2KR4 b - - 1 28,Ne5,"PovScore(Cp(-598), BLACK)",f6d5,0
55,0,28,negras,r5r1/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/2KR4 w - - 2 29,Qf4+,"PovScore(Cp(+972), WHITE)",b3e3,0
56,0,29,blancas,r5r1/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/1K1R4 b - - 3 29,Kb1,"PovScore(Cp(-609), BLACK)",f6d5,0
57,0,29,negras,r4r2/pQp2pp1/3kpn1p/4N3/3P1q2/1R6/PPP2P2/1K1R4 w - - 4 30,Rgf8,"PovScore(Mate(+9), WHITE)",b7c6,0
58,1,1,blancas,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4,"PovScore(Cp(-51), BLACK)",e7e5,0
59,1,1,negras,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e6,"PovScore(Cp(+48), WHITE)",d2d4,0
60,1,2,blancas,rnbqkbnr/pppp1ppp/4p3/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,d4,"PovScore(Cp(-76), BLACK)",d7d5,0
61,1,2,negras,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,d5,"PovScore(Cp(+50), WHITE)",e4e5,0
62,1,3,blancas,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,e5,"PovScore(Cp(-29), BLACK)",c7c5,0
63,1,3,negras,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c5,"PovScore(Cp(+39), WHITE)",c2c3,0
64,1,4,blancas,rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,c3,"PovScore(Cp(-29), BLACK)",b8c6,0
65,1,4,negras,rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,Qb6,"PovScore(Cp(+55), WHITE)",g1f3,0
66,1,5,blancas,rnb1kbnr/pp3ppp/1q2p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5,Nf3,"PovScore(Cp(-24), BLACK)",c5d4,0
67,1,5,negras,r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 3 6,Nc6,"PovScore(Cp(+8), WHITE)",f1d3,0
68,1,6,blancas,r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R b KQkq - 4 6,Bd3,"PovScore(Cp(-23), BLACK)",c5d4,0
69,1,6,negras,r1b1kbnr/pp3ppp/1qn1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQK2R w KQkq - 0 7,cxd4,"PovScore(Cp(+1), WHITE)",c3d4,0
70,1,7,blancas,r1b1kbnr/pp3ppp/1qn1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQ1RK1 b kq - 1 7,O-O,"PovScore(Cp(0), BLACK)",d4c3,0
71,1,7,negras,r3kbnr/pp1b1ppp/1qn1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQ1RK1 w kq - 2 8,Bd7,"PovScore(Cp(-20), WHITE)",c3d4,0
72,1,8,blancas,r3kbnr/pp1b1ppp/1qn1p3/3pP3/3p4/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq - 3 8,Nbd2,"PovScore(Cp(+12), BLACK)",d4c3,0
