,Id_partida,Id_jugada,turno,FEN,jugada_realizada,valoracion_stockfish,mejor_jugada_stockfish,resultado,parte_partida
5543,59,81,negras,8/P7/k2K3r/8/2pBb3/2P5/1R6/8 w - - 5 82,Rh6+,306.0,d6e5,0,Final
5544,59,82,blancas,8/P7/k6r/4K3/2pBb3/2P5/1R6/8 b - - 6 82,Ke5,-356.0,e4a8,0,Final
5545,59,82,negras,8/P7/k1b4r/4K3/2pB4/2P5/1R6/8 w - - 7 83,Bc6,801.0,b2a2,0,Final
5546,59,83,blancas,8/P7/k1b4r/4K3/2pB4/2P5/R7/8 b - - 8 83,Ra2+,-349.0,a6b5,0,Final
5547,59,83,negras,8/P7/2b4r/1k2K3/2pB4/2P5/R7/8 w - - 9 84,Kb5,434.0,a7a8n,0,Final
5548,59,84,blancas,Q7/8/2b4r/1k2K3/2pB4/2P5/R7/8 b - - 0 84,a8=Q,-377.0,c6a8,0,Medio_juego
5549,59,84,negras,b7/8/7r/1k2K3/2pB4/2P5/R7/8 w - - 0 85,Bxa8,448.0,a2a8,0,Final
5550,59,85,blancas,R7/8/7r/1k2K3/2pB4/2P5/8/8 b - - 0 85,Rxa8,-473.0,h6h1,0,Final
5551,59,85,negras,R7/8/8/1k2K2r/2pB4/2P5/8/8 w - - 1 86,Rh5+,519.0,e5d6,0,Final
5552,59,86,blancas,R7/8/3K4/1k5r/2pB4/2P5/8/8 b - - 2 86,Kd6,-427.0,h5h7,0,Final
5553,59,86,negras,R7/8/3K4/1k6/2pB3r/2P5/8/8 w - - 3 87,Rh4,524.0,a8b8,0,Final
5554,59,87,blancas,R7/8/8/1k1K4/2pB3r/2P5/8/8 b - - 4 87,Kd5,-411.0,h4h3,0,Final
5555,59,87,negras,R7/8/8/1k1K3r/2pB4/2P5/8/8 w - - 5 88,Rh5+,490.0,d4e5,0,Final
5556,59,88,blancas,R7/8/8/1k1KB2r/2p5/2P5/8/8 b - - 6 88,Be5,-445.0,h5e5,0,Final
5557,59,88,negras,R7/8/8/1k1KB3/2p5/2P5/8/7r w - - 7 89,Rh1,456.0,a8e8,0,Final
5558,59,89,blancas,1R6/8/8/1k1KB3/2p5/2P5/8/7r b - - 8 89,Rb8+,-422.0,b5a4,0,Final
5559,59,89,negras,1R6/8/k7/3KB3/2p5/2P5/8/7r w - - 9 90,Ka6,608.0,b8c8,0,Final
5560,59,90,blancas,8/8/k7/3KB3/1Rp5/2P5/8/7r b - - 10 90,Rb4,-440.0,h1h7,0,Final
5561,60,1,blancas,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e4,-51.0,e7e5,2,Apertura
5562,60,1,negras,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c5,40.0,g1f3,2,Apertura
5563,60,2,blancas,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,Nf3,-62.0,b8c6,2,Apertura
5564,60,2,negras,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e6,48.0,c2c3,2,Apertura
5565,60,3,blancas,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,d4,0,c5d4,2,Apertura
5566,60,3,negras,rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,cxd4,86.0,c1d2,2,Apertura
5567,60,4,blancas,rnbqkbnr/pp1p1ppp/4p3/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nxd4,-21.0,a7a6,2,Apertura
5568,60,4,negras,rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,a6,85.0,c1e3,2,Apertura
5569,60,5,blancas,rnbqkbnr/1p1p1ppp/p3p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 1 5,Nc3,-56.0,g8f6,2,Apertura
5570,60,5,negras,rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,b5,16.0,a2a3,2,Apertura
5571,60,6,blancas,rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R b KQkq - 1 6,Bd3,-25.0,b8c6,2,Apertura
5572,60,6,negras,rnb1kbnr/3p1ppp/pq2p3/1p6/3NP3/2NB4/PPP2PPP/R1BQK2R w KQkq - 2 7,Qb6,33.0,d4b3,2,Apertura
5573,60,7,blancas,rnb1kbnr/3p1ppp/pq2p3/1p6/3NP3/2NBB3/PPP2PPP/R2QK2R b KQkq - 3 7,Be3,13.0,g8f6,2,Apertura
5574,60,7,negras,rnb1k1nr/3p1ppp/pq2p3/1pb5/3NP3/2NBB3/PPP2PPP/R2QK2R w KQkq - 4 8,Bc5,58.0,c3e2,2,Medio_juego
5575,60,8,blancas,rnb1k1nr/3p1ppp/pq2p3/1pb5/3NP3/3BB3/PPP1NPPP/R2QK2R b KQkq - 5 8,Nce2,-31.0,b8c6,2,Medio_juego
5576,60,8,negras,rnb1k2r/3p1ppp/pq2pn2/1pb5/3NP3/3BB3/PPP1NPPP/R2QK2R w KQkq - 6 9,Nf6,86.0,e4e5,2,Medio_juego
5577,60,9,blancas,rnb1k2r/3p1ppp/pq2pn2/1pb5/3NP3/3BB3/PPP1NPPP/R2Q1RK1 b kq - 7 9,O-O,33.0,e6e5,2,Medio_juego
5578,60,9,negras,rnb1k2r/3p1ppp/pq2p3/1pb5/3NP1n1/3BB3/PPP1NPPP/R2Q1RK1 w kq - 8 10,Ng4,0,e3f4,2,Medio_juego
5579,60,10,blancas,rnb1k2r/3p1ppp/pq2p3/1pb5/3NP1n1/3B4/PPPBNPPP/R2Q1RK1 b kq - 9 10,Bd2,94.0,b5b4,2,Medio_juego
5580,60,10,negras,rnb1k2r/3p1ppp/pq6/1pb1p3/3NP1n1/3B4/PPPBNPPP/R2Q1RK1 w kq - 0 11,e5,100.0,e2g3,2,Medio_juego
5581,60,11,blancas,rnb1k2r/3p1ppp/pq6/1pb1p3/1P1NP1n1/3B4/P1PBNPPP/R2Q1RK1 b kq - 0 11,b4,-139.0,c5e7,2,Medio_juego
5582,60,11,negras,rnb1k2r/3p1ppp/pq6/1p2p3/1P1bP1n1/3B4/P1PBNPPP/R2Q1RK1 w kq - 0 12,Bxd4,125.0,e2d4,2,Medio_juego
5583,60,12,blancas,rnb1k2r/3p1ppp/pq6/1p2p3/1P1NP1n1/3B4/P1PB1PPP/R2Q1RK1 b kq - 0 12,Nxd4,-78.0,g4f2,2,Medio_juego
5584,60,12,negras,rnb1k2r/3p1ppp/pq6/1p2p3/1P1NP3/3B4/P1PB1nPP/R2Q1RK1 w kq - 0 13,Nxf2,153.0,f1f2,2,Medio_juego
5585,60,13,blancas,rnb1k2r/3p1ppp/pq6/1p2p3/1P1NP3/3B4/P1PB1RPP/R2Q2K1 b kq - 0 13,Rxf2,-159.0,b6d4,2,Medio_juego
